ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
AVD,3.187,3.16,0.0085,0.6793,731440,4,0.9146,0.214,0.0677,64.1,yf_premarket,0.06821239933323961,0.9146,0.08894842598794374,0.8,1.5,neutral,0.05708529214237744,4.3616,4.3001,0.062,steady,12:47:25,2026-07-06 12:47:25
CRTO,19.08,19.08,0.0,1.1318,335230,4,0.9319,0.7791,0.0408,62.2,yf_premarket,0.11365051312433473,0.9319,0.05291359678499665,0.8,1.5,neutral,0.0,4.3607,4.3751,-0.014,steady,12:47:25,2026-07-06 12:47:25
VSTM,4.5,4.5,0.0,0.82,3619170,4,0.9386,0.354,0.0787,61.4,yf_premarket,0.08234089128994035,0.9386,0.10368385800401876,0.8,1.5,neutral,0.0,4.3526,,,new,12:47:25,2026-07-06 12:47:25
FAST,48.62,48.6,0.0004,0.8125,8472490,4,0.9557,1.043,0.0215,65.4,yf_premarket,0.08158777338180065,0.9557,0.027059611520428663,0.8,1.5,neutral,0.002686366689053056,4.3513,,,new,12:47:25,2026-07-06 12:47:25
GEN,26.62,26.67,-0.0019,0.5943,8668800,4,0.9678,0.933,0.035,69.1,yf_premarket,0.0596770630409897,0.9678,0.045144005358338915,0.8,1.5,neutral,0.0,4.3477,,,new,12:47:25,2026-07-06 12:47:25
BSY,31.51,32.26,-0.0232,0.8764,4481130,4,0.9447,1.1723,0.0363,62.4,yf_premarket,0.08800433795915087,0.9447,0.046885465505693225,0.8,1.5,neutral,0.0,4.3448,4.3576,-0.013,steady,12:47:25,2026-07-06 12:47:25
GLIBK,22.01,22.44,-0.0192,0.5822,1299250,5,0.8603,1.2223,0.0545,57.4,yf_premarket,0.05846203281585765,0.8603,0.07126590756865371,1.0,1.5,neutral,0.0,4.3439,,,new,12:47:25,2026-07-06 12:47:25
IDT,59.382,58.82,0.0096,0.4769,319360,4,0.9191,1.914,0.0325,62.1,yf_premarket,0.04788825738557628,0.9191,0.041795043536503686,0.8,1.5,neutral,0.06447280053727333,4.3276,,,new,12:47:25,2026-07-06 12:47:25
DOMO,3.5,3.54,-0.0113,0.5051,3320100,4,0.9419,0.3618,0.1022,56.8,yf_premarket,0.05071998072018155,0.9419,0.1351640991292699,0.8,1.5,neutral,0.0,4.3275,4.3641,-0.037,steady,12:47:25,2026-07-06 12:47:25
FNF,48.68,48.84,-0.0033,1.1144,2173570,4,0.9193,1.295,0.0265,60.9,yf_premarket,0.11190327957745065,0.9193,0.03375753516409913,0.8,1.5,neutral,0.0,4.3233,4.3325,-0.009,steady,12:47:25,2026-07-06 12:47:25
