ticker,premarket_price,premarket_volume,score,score_long,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,premarket_momentum_score,direction
CPNG,16.62,0,4.2509,0.0,0.0,0.6763,0.0,21996980,3,0.848,0.6729,0.0405,0.0,down
AAPL,306.31,0,3.7181,0.0,0.0,1.0448,0.0,46706890,2,0.5674,4.906,0.016,0.0,down
MSFT,460.52,0,5.3879,0.0,0.0,1.3788,0.0,38676080,3,0.8978,11.1091,0.0241,0.0,down
AMZN,261.26,0,3.6482,0.0,0.0,1.3356,0.0,39998250,2,0.3103,6.314,0.0242,0.0,down
META,600.47,0,4.4303,0.0,0.0,1.7794,0.0,16297320,3,0.1175,15.785,0.0263,0.0,down
GOOGL,376.37,0,2.6469,0.0,0.0,0.9744,0.0,29142800,2,0.0812,8.57,0.0228,0.0,down
NVDA,224.36,0,4.2235,0.0,0.0,1.1489,0.0,184416790,2,0.7342,7.126,0.0318,0.0,down
TSLA,415.88,0,3.8857,0.0,0.0,1.0007,0.0,44552300,3,0.4281,11.784,0.0283,0.0,down
NFLX,85.85,0,1.8073,0.0,0.0,1.075,0.0,30414690,0,0.086,1.951,0.0227,0.0,down
ACHR,6.84,0,5.2746,0.0,0.0,1.0317,0.0,60966090,4,0.8333,0.4135,0.0605,0.0,down
ADI,402.69,0,2.9867,0.0,0.0,0.7497,0.0,5780490,2,0.4107,16.409,0.0407,0.0,down
APP,613.7,0,5.7671,0.0,0.0,0.8749,0.0,4914260,5,0.9484,35.5164,0.0579,0.0,down
BIDU,132.4,0,3.4839,0.0,0.0,0.7547,0.0,2630350,3,0.4079,4.779,0.0361,0.0,down
ARQQ,16.96,0,3.3423,0.0,0.0,0.5476,0.0,914840,2,0.7121,1.639,0.0966,0.0,down
CPSH,9.45,0,3.5478,0.0,0.0,0.5467,0.0,6031950,3,0.5143,1.883,0.1993,0.0,down
CRCL,104.97,0,3.4519,0.0,0.0,1.1316,0.0,12592540,2,0.344,6.9623,0.0663,0.0,down
FCEL,21.31,0,2.3702,0.0,0.0,0.5368,0.0,11810550,1,0.4481,3.595,0.1687,0.0,down
FN,622.36,0,2.2155,0.0,0.0,0.9965,0.0,1050570,1,0.0745,44.637,0.0717,0.0,down
FSLR,303.0,0,5.3068,0.0,0.0,0.9925,0.0,3395750,4,0.8833,15.572,0.0514,0.0,down
MP,69.29,0,5.1622,0.0,0.0,1.2216,0.0,7206770,3,0.8831,4.4036,0.0636,0.0,down
GRRR,21.14,0,6.056,0.0,0.0,1.3563,0.0,1431610,4,0.9765,1.4493,0.0686,0.0,down
