ticker,premarket_price,yesterday_close,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,macd_signal,price_source,norm_gap,norm_rvol,norm_pre_rvol,norm_breakout,norm_volatility,norm_trend,premarket_momentum,rsi_factor,macd_factor,score,rsi_label,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
AEE,108.03,,,0.521411644094545,0.0,1808824,2,,2.1377775404188366,,,,yf_premarket,,0.05158497847516043,0.05158497847516043,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEG,8.29,,,1.4651716077605765,0.0,4904011,1,,0.11888896094428168,,,,yf_premarket,,0.14627018312569182,0.14627018312569182,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEHR,90.9,,,1.0957757290411472,0.0,2143510,2,,11.611110263400608,,,,yf_premarket,,0.10920956843533489,0.10920956843533489,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEIS,311.92,,,0.75759911627664,0.0,1020319,2,,17.438890245225693,,,,yf_premarket,,0.07528110884774224,0.07528110884774224,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEM,154.34,,,1.025532048328037,0.0,2602282,1,,5.808827995554964,,,,yf_premarket,,0.1021621861137841,0.1021621861137841,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEMD,1.94,,,0.06430702946702628,0.0,2062916,2,,0.31444448894924587,,,,yf_premarket,,0.00572475378986667,0.00572475378986667,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEO,17.21,,,0.5001298387272216,0.0,7607514,3,,0.8222217559814453,,,,yf_premarket,,0.04944982528566694,0.04944982528566694,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AEP,127.8,,,1.205479570289405,0.0,4518529,2,,2.4344440036349826,,,,yf_premarket,,0.12021589531869956,0.12021589531869956,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AER,138.0,,,1.0720039174167897,0.0,1393571,3,,2.644444783528646,,,,yf_premarket,,0.10682459880828821,0.10682459880828821,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AES,14.6109,,,1.2352968523557193,0.0,8952453,3,,0.04666656917995877,,,,yf_premarket,,0.12320739269437192,0.12320739269437192,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AESI,16.65,,,0.6722731464658663,0.0,2939955,2,,1.0237776438395183,,,,yf_premarket,,0.06672055613881515,0.06672055613881515,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AFG,131.28,,,0.8419835248105908,0.0,471848,2,,2.624445597330729,,,,yf_premarket,,0.08374719694106866,0.08374719694106866,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
